,imdb_score,duration,genres,plot_keywords,language,country,movie_title,gross,content_rating,budget,title_year,aspect_ratio,trt_movie_title,trt_genre,trt_lucro,trt_content_rating,trt_imdb_score,trt_imdb_class_score
13,7.3,151.0,Action|Adventure|Fantasy,box office hit|giant squid|heart|liar's dice|monster,English,USA,Pirates of the Caribbean: Dead Man's Chest ,423032628.0,PG-13,225000000.0,2006.0,2.35,pirates of the caribbean: dead man's chest,Action,88.01450133333333,PG-13,7,>5 & <=7
14,6.5,150.0,Action|Adventure|Western,horse|outlaw|texas|texas ranger|train,English,USA,The Lone Ranger ,89289910.0,PG-13,215000000.0,2013.0,2.35,the lone ranger,Action,-58.46980930232558,PG-13,6,>5 & <=7
15,7.2,143.0,Action|Adventure|Fantasy|Sci-Fi,based on comic book|british actor playing american character|final battle|origin of hero|reboot,English,USA,Man of Steel ,291021565.0,PG-13,225000000.0,2013.0,2.35,man of steel,Action,29.342917777777778,PG-13,7,>5 & <=7
16,6.6,150.0,Action|Adventure|Family|Fantasy,brother brother relationship|brother sister relationship|good versus evil|king|narnia,English,USA,The Chronicles of Narnia: Prince Caspian ,141614023.0,PG,225000000.0,2008.0,2.35,the chronicles of narnia: prince caspian,Action,-37.06043422222222,PG,6,>5 & <=7
17,8.1,173.0,Action|Adventure|Sci-Fi,alien invasion|assassin|battle|iron man|soldier,English,USA,The Avengers ,623279547.0,PG-13,220000000.0,2012.0,1.85,the avengers,Action,183.308885,PG-13,8,>7 & <=10
18,6.7,136.0,Action|Adventure|Fantasy,blackbeard|captain|pirate|revenge|soldier,English,USA,Pirates of the Caribbean: On Stranger Tides ,241063875.0,PG-13,250000000.0,2011.0,2.35,pirates of the caribbean: on stranger tides,Action,-3.5744499999999997,PG-13,6,>5 & <=7
19,6.8,106.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,alien|criminal|m.i.b.|maximum security prison|prison,English,USA,Men in Black 3 ,179020854.0,PG-13,225000000.0,2012.0,1.85,men in black 3,Action,-20.435176,PG-13,6,>5 & <=7
20,7.5,164.0,Adventure|Fantasy,army|elf|hobbit|middle earth|orc,English,New Zealand,The Hobbit: The Battle of the Five Armies ,255108370.0,PG-13,250000000.0,2014.0,2.35,the hobbit: the battle of the five armies,Adventure,2.043348,PG-13,7,>5 & <=7
21,7.0,153.0,Action|Adventure|Fantasy,lizard|outcast|spider|spider man|teenager,English,USA,The Amazing Spider-Man ,262030663.0,PG-13,230000000.0,2012.0,2.35,the amazing spider-man,Action,13.926375217391303,PG-13,7,>5 & <=7
22,6.7,156.0,Action|Adventure|Drama|History,1190s|archer|england|king of england|robin hood,English,USA,Robin Hood ,105219735.0,PG-13,200000000.0,2010.0,2.35,robin hood,Action,-47.3901325,PG-13,6,>5 & <=7
23,7.9,186.0,Adventure|Fantasy,dwarf|elf|lake town|mountain|sword and sorcery,English,USA,The Hobbit: The Desolation of Smaug ,258355354.0,PG-13,225000000.0,2013.0,2.35,the hobbit: the desolation of smaug,Adventure,14.824601777777776,PG-13,7,>5 & <=7
24,6.1,113.0,Adventure|Family|Fantasy,children|epic|friend|girl|quest,English,USA,The Golden Compass ,70083519.0,PG-13,180000000.0,2007.0,2.35,the golden compass,Adventure,-61.06471166666667,PG-13,6,>5 & <=7
25,7.2,201.0,Action|Adventure|Drama|Romance,animal name in title|ape abducts a woman|gorilla|island|king kong,English,New Zealand,King Kong ,218051260.0,PG-13,207000000.0,2005.0,2.35,king kong,Action,5.338772946859904,PG-13,7,>5 & <=7
26,7.7,194.0,Drama|Romance,artist|love|ship|titanic|wet,English,USA,Titanic ,658672302.0,PG-13,200000000.0,1997.0,2.35,titanic,Drama,229.336151,PG-13,7,>5 & <=7
27,8.2,147.0,Action|Adventure|Sci-Fi,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,English,USA,Captain America: Civil War ,407197282.0,PG-13,250000000.0,2016.0,2.35,captain america: civil war,Action,62.878912799999995,PG-13,8,>7 & <=10
28,5.9,131.0,Action|Adventure|Sci-Fi|Thriller,box office flop|hawaii|naval|oahu hawaii|ship,English,USA,Battleship ,65173160.0,PG-13,209000000.0,2012.0,2.35,battleship,Action,-68.81666985645933,PG-13,5,>4 & <=5
29,7.0,124.0,Action|Adventure|Sci-Fi|Thriller,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,English,USA,Jurassic World ,652177271.0,PG-13,150000000.0,2015.0,2.0,jurassic world,Action,334.78484733333335,PG-13,7,>5 & <=7
30,7.8,143.0,Action|Adventure|Thriller,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,English,UK,Skyfall ,304360277.0,PG-13,200000000.0,2012.0,2.35,skyfall,Action,52.1801385,PG-13,7,>5 & <=7
31,7.3,135.0,Action|Adventure|Fantasy|Romance,death|doctor|scientist|super villain|tentacle,English,USA,Spider-Man 2 ,373377893.0,PG-13,200000000.0,2004.0,2.35,spider-man 2,Action,86.6889465,PG-13,7,>5 & <=7
32,7.2,195.0,Action|Adventure|Sci-Fi,armor|explosion|human bomb|missile attack|terrorist,English,USA,Iron Man 3 ,408992272.0,PG-13,200000000.0,2013.0,2.35,iron man 3,Action,104.496136,PG-13,7,>5 & <=7
33,6.5,108.0,Adventure|Family|Fantasy,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,English,USA,Alice in Wonderland ,334185206.0,PG,200000000.0,2010.0,1.85,alice in wonderland,Adventure,67.092603,PG,6,>5 & <=7
34,6.8,104.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,battle|mutant|outrage|walking through a wall|x men,English,Canada,X-Men: The Last Stand ,234360014.0,PG-13,210000000.0,2006.0,2.35,x-men: the last stand,Action,11.600006666666667,PG-13,6,>5 & <=7
35,7.3,104.0,Adventure|Animation|Comedy|Family|Fantasy,cheating|fraternity|monster|singing in a car|university,English,USA,Monsters University ,268488329.0,G,200000000.0,2013.0,1.85,monsters university,Adventure,34.244164500000004,G,7,>5 & <=7
36,6.0,150.0,Action|Adventure|Sci-Fi,autobot|decepticon|machine|sun|symbol,English,USA,Transformers: Revenge of the Fallen ,402076689.0,PG-13,200000000.0,2009.0,2.35,transformers: revenge of the fallen,Action,101.0383445,PG-13,6,>5 & <=7
37,5.7,165.0,Action|Adventure|Sci-Fi,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,English,USA,Transformers: Age of Extinction ,245428137.0,PG-13,210000000.0,2014.0,2.35,transformers: age of extinction,Action,16.87054142857143,PG-13,5,>4 & <=5
38,6.4,130.0,Adventure|Family|Fantasy,circus|magic|magician|oz|witch,English,USA,Oz the Great and Powerful ,234903076.0,PG,215000000.0,2013.0,2.35,oz the great and powerful,Adventure,9.257244651162791,PG,6,>5 & <=7
39,6.7,142.0,Action|Adventure|Fantasy|Sci-Fi,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,English,USA,The Amazing Spider-Man 2 ,202853933.0,PG-13,200000000.0,2014.0,2.35,the amazing spider-man 2,Action,1.4269665,PG-13,6,>5 & <=7
40,6.8,125.0,Action|Adventure|Sci-Fi,arcade|bridge|disappearance|escape|warrior,English,USA,TRON: Legacy ,172051787.0,PG,170000000.0,2010.0,2.35,tron: legacy,Action,1.2069335294117647,PG,6,>5 & <=7
41,6.3,106.0,Adventure|Animation|Comedy|Family|Sport,best friend|car race|conspiracy|gadget car|spy,English,USA,Cars 2 ,191450875.0,G,200000000.0,2011.0,2.35,cars 2,Adventure,-4.2745625,G,6,>5 & <=7
42,5.6,123.0,Action|Adventure|Sci-Fi,autopsy|lantern|planet|ring|test pilot,English,USA,Green Lantern ,116593191.0,PG-13,200000000.0,2011.0,2.35,green lantern,Action,-41.703404500000005,PG-13,5,>4 & <=5
43,8.3,103.0,Adventure|Animation|Comedy|Family|Fantasy,college|day care|escape|teddy bear|toy,English,USA,Toy Story 3 ,414984497.0,G,200000000.0,2010.0,1.85,toy story 3,Adventure,107.49224850000002,G,8,>7 & <=10
44,6.6,118.0,Action|Adventure|Sci-Fi,death row|future|machine|rescue|skynet,English,USA,Terminator Salvation ,125320003.0,PG-13,200000000.0,2009.0,2.35,terminator salvation,Action,-37.3399985,PG-13,6,>5 & <=7
45,7.2,140.0,Action|Crime|Thriller,car falling off a cliff|hospital|revenge|star died before release|terrorist,English,USA,Furious 7 ,350034110.0,PG-13,190000000.0,2015.0,2.35,furious 7,Action,84.22847894736843,PG-13,7,>5 & <=7
46,7.0,123.0,Action|Adventure|Horror|Sci-Fi|Thriller,chaos|disease|infection|pandemic|zombie,English,USA,World War Z ,202351611.0,PG-13,190000000.0,2013.0,2.35,world war z,Action,6.500847894736841,PG-13,7,>5 & <=7
47,8.0,149.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,dystopia|super strength|supernatural power|time paradox|time travel,English,USA,X-Men: Days of Future Past ,233914986.0,PG-13,200000000.0,2014.0,2.35,x-men: days of future past,Action,16.957493,PG-13,8,>7 & <=10
48,7.8,132.0,Action|Adventure|Sci-Fi,admiral|captain|manhunt|mission|space,English,USA,Star Trek Into Darkness ,228756232.0,PG-13,190000000.0,2013.0,2.35,star trek into darkness,Action,20.398016842105264,PG-13,7,>5 & <=7
49,6.3,114.0,Adventure|Fantasy,bean|giant|king|no opening credits|princess,English,USA,Jack the Giant Slayer ,65171860.0,PG-13,195000000.0,2013.0,2.35,jack the giant slayer,Adventure,-66.57853333333334,PG-13,6,>5 & <=7
50,7.3,143.0,Drama|Romance,ingratitude|mansion|party|title appears in writing|tragedy,English,Australia,The Great Gatsby ,144812796.0,PG-13,105000000.0,2013.0,2.35,the great gatsby,Drama,37.91694857142857,PG-13,7,>5 & <=7
51,6.6,116.0,Action|Adventure|Fantasy|Romance,alamut|dagger|king|persia|princess,English,USA,Prince of Persia: The Sands of Time ,90755643.0,PG-13,200000000.0,2010.0,2.35,prince of persia: the sands of time,Action,-54.6221785,PG-13,6,>5 & <=7
52,7.0,131.0,Action|Adventure|Sci-Fi,giant monster|kaiju|pilot|portal|robot,English,USA,Pacific Rim ,101785482.0,PG-13,190000000.0,2013.0,1.85,pacific rim,Action,-46.42869368421053,PG-13,7,>5 & <=7
53,6.3,154.0,Action|Adventure|Sci-Fi,autobot|decepticon|job interview|moon|spacecraft,English,USA,Transformers: Dark of the Moon ,352358779.0,PG-13,195000000.0,2011.0,2.35,transformers: dark of the moon,Action,80.69680974358975,PG-13,6,>5 & <=7
54,6.2,122.0,Action|Adventure|Fantasy,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,English,USA,Indiana Jones and the Kingdom of the Crystal Skull ,317011114.0,PG-13,185000000.0,2008.0,2.35,indiana jones and the kingdom of the crystal skull,Action,71.35735891891892,PG-13,6,>5 & <=7
56,7.2,93.0,Adventure|Animation|Comedy|Family|Fantasy,archery|coming of age|female warrior|princess|rebellious daughter,English,USA,Brave ,237282182.0,PG,185000000.0,2012.0,2.35,brave,Adventure,28.260638918918918,PG,7,>5 & <=7
57,7.5,122.0,Action|Adventure|Sci-Fi|Thriller,hatred|sequel|space opera|star trek|third part,English,USA,Star Trek Beyond ,130468626.0,PG-13,185000000.0,2016.0,2.35,star trek beyond,Action,-29.476418378378376,PG-13,7,>5 & <=7
58,8.4,98.0,Adventure|Animation|Family|Sci-Fi,earth|obesity|plant|robot|soil,English,USA,WALL·E ,223806889.0,G,180000000.0,2008.0,2.35,wall·e,Adventure,24.337160555555556,G,8,>7 & <=10
59,6.2,91.0,Action|Comedy|Crime|Thriller,ambassador|assassination|chinese|french|triad,English,USA,Rush Hour 3 ,140080850.0,PG-13,140000000.0,2007.0,2.35,rush hour 3,Action,0.05775,PG-13,6,>5 & <=7
60,5.8,158.0,Action|Adventure|Sci-Fi,ark|catastrophe|geologist|president|writer,English,USA,2012 ,166112167.0,PG-13,200000000.0,2009.0,2.35,2012,Action,-16.9439165,PG-13,5,>4 & <=5
61,6.8,96.0,Animation|Drama|Family|Fantasy,charles dickens|christmas|christmas eve|ghost|scrooge,English,USA,A Christmas Carol ,137850096.0,PG,200000000.0,2009.0,2.35,a christmas carol,Animation,-31.074952,PG,6,>5 & <=7
62,5.4,127.0,Action|Adventure|Sci-Fi,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,English,USA,Jupiter Ascending ,47375327.0,PG-13,176000000.0,2015.0,2.35,jupiter ascending,Action,-73.08220056818182,PG-13,5,>4 & <=5
63,6.6,110.0,Action|Adventure|Drama|Romance,africa|capture|jungle|male objectification|tarzan,English,USA,The Legend of Tarzan ,124051759.0,PG-13,180000000.0,2016.0,2.35,the legend of tarzan,Action,-31.08235611111111,PG-13,6,>5 & <=7
64,6.9,150.0,Adventure|Family|Fantasy,hide and seek|lion|magic|professor|snow,English,USA,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",291709845.0,PG,180000000.0,2005.0,2.35,"the chronicles of narnia: the lion, the witch and the wardrobe",Adventure,62.061025,PG,6,>5 & <=7
65,7.3,144.0,Action|Adventure|Sci-Fi,mutant|superhero|superhero team|x men|year 1983,English,USA,X-Men: Apocalypse ,154985087.0,PG-13,178000000.0,2016.0,2.35,x-men: apocalypse,Action,-12.929726404494382,PG-13,7,>5 & <=7
66,9.0,152.0,Action|Crime|Drama|Thriller,based on comic book|dc comics|psychopath|star died before release|urban setting,English,USA,The Dark Knight ,533316061.0,PG-13,185000000.0,2008.0,2.35,the dark knight,Action,188.2789518918919,PG-13,9,>7 & <=10
67,8.3,96.0,Adventure|Animation|Comedy|Family,balloon|house|promise|retirement|skeleton,English,USA,Up ,292979556.0,PG,175000000.0,2009.0,1.85,up,Adventure,67.41688914285714,PG,8,>7 & <=10
68,6.5,94.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi,alien|alien invasion|alien space craft|giant|giantess,English,USA,Monsters vs. Aliens ,198332128.0,PG,175000000.0,2009.0,2.35,monsters vs. aliens,Action,13.33264457142857,PG,6,>5 & <=7
69,7.9,126.0,Action|Adventure|Sci-Fi,afghanistan|billionaire|inventor|playboy|u.s. air force,English,USA,Iron Man ,318298180.0,PG-13,140000000.0,2008.0,2.35,iron man,Action,127.35584285714285,PG-13,7,>5 & <=7
70,7.5,126.0,Adventure|Drama|Family|Mystery,automaton|mechanical|railway station|steampunk|train,English,USA,Hugo ,73820094.0,PG,170000000.0,2011.0,1.85,hugo,Adventure,-56.576415294117645,PG,7,>5 & <=7
71,4.8,106.0,Action|Comedy|Sci-Fi|Western,buddy movie|general|inventor|steampunk|utah,English,USA,Wild Wild West ,113745408.0,PG-13,170000000.0,1999.0,1.85,wild wild west,Action,-33.09093647058823,PG-13,4,<4
72,5.2,112.0,Action|Adventure|Fantasy|Horror|Thriller,army|china|emperor|mummy|shangri la,English,USA,The Mummy: Tomb of the Dragon Emperor ,102176165.0,PG-13,145000000.0,2008.0,2.35,the mummy: tomb of the dragon emperor,Action,-29.53367931034483,PG-13,5,>4 & <=5
73,6.9,123.0,Action|Adventure|Comedy|Sci-Fi,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,English,USA,Suicide Squad ,161087183.0,PG-13,175000000.0,2016.0,2.35,suicide squad,Action,-7.950181142857144,PG-13,6,>5 & <=7
74,5.4,96.0,Comedy|Family|Fantasy,ark|change|congressman|depiction of god|flood,English,USA,Evan Almighty ,100289690.0,PG,175000000.0,2007.0,2.35,evan almighty,Comedy,-42.691605714285714,PG,5,>4 & <=5
75,7.9,113.0,Action|Adventure|Sci-Fi,alien|combat|dying repeatedly|end of the world|time loop,English,USA,Edge of Tomorrow ,100189501.0,PG-13,178000000.0,2014.0,2.35,edge of tomorrow,Action,-43.71376348314607,PG-13,7,>5 & <=7
76,6.1,176.0,Action|Adventure|Sci-Fi|Thriller,future|sail|sea|smoker|water,English,USA,Waterworld ,88246220.0,PG-13,175000000.0,1995.0,1.85,waterworld,Action,-49.57358857142857,PG-13,6,>5 & <=7
77,5.8,118.0,Action|Adventure|Sci-Fi|Thriller,cobra|gi joe|snake|train|warhead,English,USA,G.I. Joe: The Rise of Cobra ,150167630.0,PG-13,175000000.0,2009.0,2.35,g.i. joe: the rise of cobra,Action,-14.189925714285714,PG-13,5,>4 & <=5
78,8.3,95.0,Adventure|Animation|Comedy|Drama|Family|Fantasy,anger|joy|memory|running away|sadness,English,USA,Inside Out ,356454367.0,PG,175000000.0,2015.0,1.85,inside out,Adventure,103.68820971428572,PG,8,>7 & <=10
79,7.8,106.0,Adventure|Drama|Family|Fantasy,fire|jungle|remake|tiger|wolf,English,UK,The Jungle Book ,362645141.0,PG,175000000.0,2016.0,1.85,the jungle book,Adventure,107.22579485714286,PG,7,>5 & <=7
80,7.0,124.0,Action|Adventure|Sci-Fi,hammer|military|monaco|revenge|tony stark,English,USA,Iron Man 2 ,312057433.0,PG-13,200000000.0,2010.0,2.35,iron man 2,Action,56.028716499999994,PG-13,7,>5 & <=7
81,6.1,132.0,Action|Adventure|Drama|Fantasy,evil queen|fairy tale|magic|queen|snow white,English,USA,Snow White and the Huntsman ,155111815.0,PG-13,170000000.0,2012.0,2.35,snow white and the huntsman,Action,-8.75775588235294,PG-13,6,>5 & <=7
82,7.0,97.0,Action|Adventure|Family|Fantasy|Romance,curse|dark fantasy|fairy|king|kingdom,English,USA,Maleficent ,241407328.0,PG,180000000.0,2014.0,2.35,maleficent,Action,34.115182222222224,PG,7,>5 & <=7
83,7.6,130.0,Action|Adventure|Drama|Sci-Fi,ape|dam|leader|post apocalypse|sequel,English,USA,Dawn of the Planet of the Apes ,208543795.0,PG-13,170000000.0,2014.0,1.85,dawn of the planet of the apes,Action,22.672820588235293,PG-13,7,>5 & <=7
85,6.3,128.0,Action|Adventure|Drama|Fantasy,box office flop|ronin|samurai|shogun|tournament,English,USA,47 Ronin ,38297305.0,PG-13,175000000.0,2013.0,2.35,47 ronin,Action,-78.11582571428572,PG-13,6,>5 & <=7
86,7.8,136.0,Action|Adventure|Sci-Fi,conspiracy|heroism|megalomaniac|super soldier|world domination,English,USA,Captain America: The Winter Soldier ,259746958.0,PG-13,170000000.0,2014.0,2.35,captain america: the winter soldier,Action,52.792328235294114,PG-13,7,>5 & <=7
87,6.4,93.0,Adventure|Animation|Comedy|Family|Fantasy,alternate world|fairy tale parody|female warrior|ogre|true love,English,USA,Shrek Forever After ,238371987.0,PG,165000000.0,2010.0,2.35,shrek forever after,Adventure,44.467870909090905,PG,6,>5 & <=7
88,6.5,130.0,Action|Adventure|Family|Mystery|Sci-Fi,boy genius|futuristic city|inventor|teenage girl|time travel,English,USA,Tomorrowland ,93417865.0,PG,190000000.0,2015.0,2.2,tomorrowland,Action,-50.832702631578954,PG,6,>5 & <=7
89,7.9,102.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,high tech|martial arts|masked man|robot|superhero,English,USA,Big Hero 6 ,222487711.0,PG,165000000.0,2014.0,2.39,big hero 6,Action,34.84103696969697,PG,7,>5 & <=7
90,7.8,101.0,Adventure|Animation|Comedy|Family|Sci-Fi,arcade|candy|glitch|king|medal,English,USA,Wreck-It Ralph ,189412677.0,PG,165000000.0,2012.0,2.35,wreck-it ralph,Adventure,14.795561818181818,PG,7,>5 & <=7
91,6.6,100.0,Adventure|Animation|Family|Fantasy,boy|christmas|christmas eve|north pole|train,English,USA,The Polar Express ,665426.0,G,165000000.0,2004.0,2.35,the polar express,Adventure,-99.59671151515151,G,6,>5 & <=7
92,5.5,120.0,Action|Adventure|Sci-Fi,alien|battle|defense|independence day|mothership,English,USA,Independence Day: Resurgence ,102315545.0,PG-13,165000000.0,2016.0,2.35,independence day: resurgence,Action,-37.99057878787879,PG-13,5,>4 & <=5
93,8.2,98.0,Adventure|Animation|Family|Fantasy,dragon|island|training|viking|village,English,USA,How to Train Your Dragon ,217387997.0,PG,165000000.0,2010.0,2.35,how to train your dragon,Adventure,31.75030121212121,PG,8,>7 & <=10
94,6.4,109.0,Action|Sci-Fi,drifter|exploding truck|future|machine|skynet,English,USA,Terminator 3: Rise of the Machines ,150350192.0,R,200000000.0,2003.0,2.35,terminator 3: rise of the machines,Action,-24.824904,R,6,>5 & <=7
95,8.1,121.0,Action|Adventure|Sci-Fi,bounty hunter|outer space|raccoon|talking animal|tree,English,USA,Guardians of the Galaxy ,333130696.0,PG-13,170000000.0,2014.0,2.35,guardians of the galaxy,Action,95.95923294117648,PG-13,8,>7 & <=10
96,8.6,169.0,Adventure|Drama|Sci-Fi,black hole|father daughter relationship|saving the world|space travel|wormhole,English,USA,Interstellar ,187991439.0,PG-13,165000000.0,2014.0,2.35,interstellar,Adventure,13.934205454545454,PG-13,8,>7 & <=10
97,8.8,148.0,Action|Adventure|Sci-Fi|Thriller,ambiguous ending|corporate espionage|dream|subconscious|thief,English,USA,Inception ,292568851.0,PG-13,160000000.0,2010.0,2.35,inception,Action,82.855531875,PG-13,8,>7 & <=10
99,7.9,182.0,Adventure|Fantasy,dragon|dwarf|hobbit|orc|wizard,English,USA,The Hobbit: An Unexpected Journey ,303001229.0,PG-13,180000000.0,2012.0,2.35,the hobbit: an unexpected journey,Adventure,68.33401611111111,PG-13,7,>5 & <=7
100,6.7,106.0,Action|Crime|Thriller,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,English,USA,The Fast and the Furious ,144512310.0,PG-13,38000000.0,2001.0,2.35,the fast and the furious,Action,280.29555263157897,PG-13,6,>5 & <=7
101,7.8,166.0,Drama|Fantasy|Romance,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,English,USA,The Curious Case of Benjamin Button ,127490802.0,PG-13,150000000.0,2008.0,2.35,the curious case of benjamin button,Drama,-15.006132,PG-13,7,>5 & <=7
102,7.8,132.0,Action|Adventure|Sci-Fi,cia|cia agent|mutant|nuclear war|professor,English,USA,X-Men: First Class ,146405371.0,PG-13,160000000.0,2011.0,2.35,x-men: first class,Action,-8.496643125,PG-13,7,>5 & <=7
103,6.6,137.0,Adventure|Sci-Fi,death of sister|dystopia|execution|rebellion|revolution,English,USA,The Hunger Games: Mockingjay - Part 2 ,281666058.0,PG-13,160000000.0,2015.0,2.35,the hunger games: mockingjay - part 2,Adventure,76.04128625,PG-13,6,>5 & <=7
104,6.1,109.0,Action|Adventure|Family|Fantasy,chosen one|enchanted object|love|spell|training,English,USA,The Sorcerer's Apprentice ,63143812.0,PG,150000000.0,2010.0,2.35,the sorcerer's apprentice,Action,-57.90412533333333,PG,6,>5 & <=7
105,5.6,98.0,Action|Adventure|Drama|Thriller,cruise|escape|ocean|passenger|water,English,USA,Poseidon ,60655503.0,PG-13,160000000.0,2006.0,2.35,poseidon,Action,-62.090310625,PG-13,5,>4 & <=5
106,6.4,113.0,Adventure|Family|Fantasy,clock|dark fantasy|mad hatter|queen|sequel,English,USA,Alice Through the Looking Glass ,76846624.0,PG,170000000.0,2016.0,1.85,alice through the looking glass,Adventure,-54.796103529411766,PG,6,>5 & <=7
107,6.1,93.0,Adventure|Animation|Comedy|Family|Fantasy,disney spoof|fairy tale|prince|princess|tough guy,English,USA,Shrek the Third ,320706665.0,PG,160000000.0,2007.0,1.85,shrek the third,Adventure,100.44166562500001,PG,6,>5 & <=7
108,7.3,123.0,Action|Adventure|Fantasy,based on video game|fictional language|fictional war|orc|sword and sorcery,English,USA,Warcraft ,46978995.0,PG-13,160000000.0,2016.0,2.35,warcraft,Action,-70.638128125,PG-13,7,>5 & <=7
109,6.6,126.0,Action|Adventure|Sci-Fi,alternate timeline|cyborg|future|robot|time machine,English,USA,Terminator Genisys ,89732035.0,PG-13,155000000.0,2015.0,2.35,terminator genisys,Action,-42.10836451612903,PG-13,6,>5 & <=7
110,6.3,113.0,Adventure|Family|Fantasy,dragon|king|mouse|quest|warrior,English,USA,The Chronicles of Narnia: The Voyage of the Dawn Treader ,104383624.0,PG,155000000.0,2010.0,1.78,the chronicles of narnia: the voyage of the dawn treader,Adventure,-32.65572645161291,PG,6,>5 & <=7
111,6.1,184.0,Action|Drama|History|Romance|War,air raid|black smoke|japanese military|japanese navy|sunday,English,USA,Pearl Harbor ,198539855.0,PG-13,140000000.0,2001.0,2.35,pearl harbor,Action,41.81418214285714,PG-13,6,>5 & <=7
112,7.1,144.0,Action|Adventure|Sci-Fi,alien contact|autobot|decepticon|robot vs. robot|teenage hero,English,USA,Transformers ,318759914.0,PG-13,150000000.0,2007.0,2.35,transformers,Action,112.50660933333334,PG-13,7,>5 & <=7
113,5.5,206.0,Action|Adventure|Biography|Drama|History|Romance|War,ancient greece|conquest|greek|greek myth|king,English,Germany,Alexander ,34293771.0,R,155000000.0,2004.0,2.35,alexander,Action,-77.8749864516129,R,5,>4 & <=5
